industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
化学制药,2.87,-9.33,-8.43,-19.01,86.67,1,28.1,-12.2674,0.9177,
生物制品,0.29,-2.92,-2.84,-5.9,86.18,2,18.68,-10.0988,0.8704,
医疗服务,1.92,1.55,-6.31,-8.28,84.71,3,19.95,-15.3333,0.8,
医药商业,-0.03,-1.82,-0.61,-1.66,83.0,4,9.99,-14.8827,0.9062,
中药,2.11,-7.66,,-7.88,80.35,5,9.97,-11.0865,0.8529,
医疗器械,-3.99,-1.57,-5.64,-7.79,76.61,6,11.35,19.3701,0.8478,
自动化设备,-24.35,8.45,68.98,0.59,72.96,7,13.73,7.135,0.4737,
通用设备,-49.9,-6.51,47.77,-10.0,71.82,8,30.0,-19.1145,0.5466,
通信设备,-110.67,12.55,193.39,-37.91,70.01,9,10.0,23.3766,0.3297,
美容护理,-1.2,-1.21,-0.33,-2.43,69.66,10,10.04,-11.1187,0.7576,
半导体,-69.32,267.76,336.38,-52.16,69.09,11,15.71,-12.2007,0.5337,
养殖业,-2.26,-5.71,-3.1,-3.71,68.62,12,10.05,-12.4823,0.7647,
轨交设备,-3.68,-1.08,0.06,-6.27,67.15,13,7.89,20.3129,0.6333,
汽车服务及其他,0.54,-1.42,-0.88,0.35,67.02,14,5.05,-6.8908,0.8,
食品加工制造,-1.87,-13.38,-1.28,-2.72,66.74,15,9.22,,0.7538,
纺织制造,0.62,0.35,0.39,-1.41,66.35,16,10.01,35.6061,0.7812,
农产品加工,-0.73,-4.48,-2.22,-3.3,66.13,17,4.6,,0.8,
专用设备,-49.62,3.83,32.64,-14.03,65.98,18,13.05,-33.4302,0.5492,
汽车零部件,-17.17,-18.06,28.59,-8.94,65.93,19,14.07,,0.588,
化学制品,-31.44,-3.28,10.04,-28.26,64.6,20,20.0,-1.0101,0.56,
