ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60,future_return_20
002259.SZ,升达林业,燃气Ⅱ,深交所,5.37,2.4809,5.27,5.45,5.22,34008452.0,181932447.0,2.9301,5.226,5.398,5.5725,5.0133,4.5462,4.1522,-1.7715,2.4418,5.93,4.99,6.31,3.77,-9.4435,-14.897,87.6984,50.4803,-3148600.0,-20529100.0,-25234400.0,-66850600.00000001,0.0,34.2697,-0.1575,50.0,0.0,44.0,15.77905991,6.79778854,18.35,576.67,38.63,1.9774,2.1488,17.0656,67.5867,55.705,50.0,42.3639,high,0.4,0.25,0.2,0.15,,,,-4.4693
688536.SH,思瑞浦,半导体,科创板,186.0,-1.4308,189.05,192.3,183.96,4816741.0,903491589.0,4.3798,181.784,180.338,175.2715,177.2162,167.7826,154.1477,0.2709,1.9539,189.59,156.55,209.07,143.51,-1.8936,-11.0346,94.4444,61.9525,82398700.00000001,78925800.0,186000000.0,466000000.0,3230125.05,60.3251,2.698,100.0,5.0,5.0,180.71787094,7.46669491,1.68,577.25,10.34,57.8358,62.6446,-25.1706,94.1526,85.8053,73.2702,41.6215,high,0.4,0.25,0.2,0.15,,,,16.6667
600125.SH,铁龙物流,铁路公路,上交所,6.93,3.4328,6.68,7.08,6.68,78369641.0,544682209.0,0.8873,6.518,6.554,6.5615,6.4798,6.4151,6.1045,0.7988,0.1468,6.93,6.18,6.93,6.16,0.0,0.0,99.6032,38.3312,5616700.0,-5299700.0,-23199600.0,-36412500.0,-3358712.0,58.5227,0.0336,100.0,2.0,2.0,13.07833039,0.89938405,2.8,6.91,24.67,0.0826,0.1653,14.3738,74.204,45.6111,50.0,40.9227,high,0.4,0.25,0.2,0.15,,,,-12.4098
002216.SZ,三全食品,食品加工,深交所,12.35,3.0885,12.09,12.6,12.04,16391407.0,202324212.0,1.1798,11.872,11.993,12.272,11.8623,11.5887,11.5085,0.619,0.1773,12.87,11.6,12.87,11.29,-4.0404,-4.0404,96.0317,44.8482,131200.0,-1304199.9999999998,-21116600.0,-14575500.0,-2330078.0,44.3946,-0.0835,100.0,1.0,2.0,16.87166817,2.09504185,5.61,29.11,34.43,29.0909,1.9008,6.6576,78.5527,50.3614,50.0,39.8735,high,0.4,0.25,0.2,0.15,,,,10.2834
301479.SZ,弘景光电,光学光电子,深交所,95.9,-2.5803,98.81,98.81,94.5,2179766.0,210711625.0,6.6693,95.808,96.371,94.0525,90.3523,89.7174,,2.095,0.9234,99.4,84.56,99.4,84.5,-3.5211,-3.5211,65.8635,66.3305,-21800.0,-19658200.0,-66543900.0,-130000000.0,,52.354,-0.1321,100.0,3.0,3.0,41.1317828,5.77623414,,,,6.8627,3.9216,1.6177,71.4,57.2367,64.2957,39.5888,high,0.4,0.25,0.2,0.15,,,,12.1481
000423.SZ,东阿阿胶,中药Ⅱ,深交所,56.11,0.7361,55.8,56.39,55.56,5848400.0,327449089.0,1.1218,55.83,54.208,53.5275,52.0718,50.0151,52.1676,0.4372,1.1385,56.4,51.91,56.4,48.9,-0.5142,-0.5142,84.5238,29.5065,-10538200.0,-42638500.0,-127000000.0,-163000000.0,-895652.43,66.448,0.638,100.0,5.0,68.0,16.49037185,2.70293062,4.31,7.14,20.02,0.0,27.1074,12.5601,74.9357,40.258,50.0,39.3096,high,0.4,0.25,0.2,0.15,,,,-7.3249
001256.SZ,炜冈科技,专用设备,深交所,26.41,0.4183,26.04,28.55,25.8,12912936.0,351308502.0,3.9714,25.164,23.985,23.166,22.3442,22.2178,22.9658,2.6725,1.7888,26.41,21.32,26.41,20.52,0.0,0.0,90.0794,35.5716,-3099400.0,-24836500.0,-29915100.000000004,-10127500.0,,84.029,0.7918,100.0,15.0,15.0,25.05538102,2.7596083,2.91,43.77,24.21,26.021,80.3967,-14.0583,86.6227,63.5877,65.1468,38.5219,high,0.4,0.25,0.2,0.15,,,,-10.7535
301609.SZ,山大电力,电网设备,深交所,55.63,-2.5403,57.02,57.08,55.31,6673437.0,373189947.0,6.4196,55.072,54.505,54.1135,49.412,48.5728,,2.8744,2.2769,58.81,49.33,58.81,41.24,-5.4072,-5.4072,93.865,75.061,,-4445600.0,-24434400.0,-80141600.0,,50.3138,0.0424,100.0,3.0,47.0,45.68219813,4.75212436,,,,1.8182,1.8182,3.9091,74.9,53.9865,48.3557,38.3393,high,0.4,0.25,0.2,0.15,,,,-17.7782
300113.SZ,顺网科技,游戏Ⅱ,创业板,28.42,-3.3004,29.0,29.57,28.25,68420999.0,1967305316.0,6.9731,28.558,28.079,27.6125,24.8823,23.3656,21.794,1.6417,3.2955,30.06,24.12,30.06,19.3,-5.4558,-5.4558,95.6349,109.7891,-76232500.0,-84531900.0,-164000000.0,-172000000.0,10373918.49,60.8101,-0.0218,100.0,7.0,49.0,33.0685959,5.33237107,3.1,9.56,12.86,1.1765,64.1322,1.4094,71.4924,60.6632,50.0,38.0695,high,0.4,0.25,0.2,0.15,,,,-3.4131
000554.SZ,泰山石油,炼化及贸易,深交所,8.4,0.1192,8.38,8.5,8.21,40957536.0,343413344.0,3.5403,8.462,8.849,9.5185,8.1055,7.4458,7.0224,0.0526,2.1895,11.62,8.39,11.62,6.44,-27.7108,-27.7108,90.4762,80.332,5842200.0,-1075800.0,-31165400.0,-45105000.0,,20.5357,-0.4692,50.0,0.0,47.0,17.40735918,2.47079826,5.81,27.0,27.28,0.0826,9.7521,16.6434,51.855,53.328,50.0,37.7867,high,0.4,0.25,0.2,0.15,,,,-5.5952
