ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
300558.SZ,贝达药业,化学制药,创业板,58.55,6.4933,55.02,58.67,54.9,28425381.0,1602004166.0,6.1341,53.634,52.55,50.8725,48.3542,47.5098,54.246,2.3437,1.8865,58.55,47.8,58.55,40.98,0.0,0.0,72.619,63.0419,,,,,6833530.79,66.7428,1.2342,100.0,9.0,39.0,56.21142093,3.64953258,,,,36.8595,28.0165,-14.905,77.3,63.9165,50.0,46.8079,neutral,0.25,0.35,0.25,0.15,,,
600601.SH,方正科技,元件,上交所,14.05,-2.4306,14.6,14.67,13.77,251017329.0,3543983331.0,4.1605,14.07,13.128,12.9825,11.8685,11.7031,10.2085,3.5246,2.8793,14.4,11.72,14.4,9.63,-2.4306,-2.4306,97.619,61.6658,,,,,1423138.34,65.0,0.3389,100.0,6.0,42.0,90.82544839,11.6412619,4.88,195.16,54.12,57.5428,83.3506,-26.5659,89.5784,58.2935,50.0,46.7843,neutral,0.25,0.35,0.25,0.15,,,
001339.SZ,智微智能,计算机设备,深交所,131.19,3.3562,128.81,132.0,125.0,18516572.0,2376819710.0,11.3742,115.924,107.608,105.7545,89.0635,73.4043,63.4903,1.2581,4.7325,131.19,96.7,131.19,58.24,0.0,0.0,99.6032,66.2777,,,,,12281386.24,76.0516,4.4155,100.0,4.0,50.0,145.1971382,14.62718271,4.73,159.13,70.93,78.2422,99.8928,-44.5148,91.5255,69.0275,50.0,45.6621,neutral,0.25,0.35,0.25,0.15,,,
002297.SZ,博云新材,航空装备Ⅱ,深交所,31.2,10.0141,31.2,31.2,29.78,39583312.0,1232730875.0,24.5928,26.468,23.716,23.0965,19.9313,16.052,12.28,1.7871,6.9048,31.2,19.66,31.2,10.56,0.0,0.0,99.6032,102.6924,,,,,0.0,90.4062,1.7241,100.0,5.0,47.0,99.85983931,8.53704821,,,,12.1071,99.9174,-24.2168,78.0,65.2292,50.0,45.0531,neutral,0.25,0.35,0.25,0.15,,,
605020.SH,永和股份,化学制品,上交所,37.59,10.0088,34.16,37.59,33.4,62469557.0,2246588904.0,8.7478,35.92,34.392,34.318,29.4408,28.6558,27.4461,2.4708,2.8303,37.59,31.7,37.59,23.37,0.0,0.0,99.6032,66.1287,,,,,-1615189.8,57.26,0.1442,100.0,6.0,31.0,31.05234154,3.37329174,,,,26.0833,47.6667,-16.0458,78.2,56.3497,50.0,44.946,neutral,0.25,0.35,0.25,0.15,,,
300292.SZ,吴通控股,通信服务,创业板,6.46,0.78,6.4,6.6,6.26,147570202.0,946549428.0,12.4929,6.402,6.12,5.88,5.5132,5.1282,4.9776,1.2135,2.3959,6.47,5.31,7.04,4.38,-0.1546,-8.2386,97.619,81.0917,,,,,4804149.98,66.369,0.1149,100.0,5.0,50.0,68.94405787,5.79954003,,,,24.2815,98.595,-28.1473,76.8,68.4422,50.0,44.4537,neutral,0.25,0.35,0.25,0.15,,,
002842.SZ,翔鹭钨业,小金属,深交所,52.49,9.9958,48.69,52.49,48.69,76336726.0,3873967081.0,20.069,46.672,41.549,37.2545,35.0565,31.006,20.2942,9.6995,3.4919,52.49,32.05,52.49,30.12,0.0,0.0,99.6032,80.1416,,,,,,84.5008,3.5852,100.0,9.0,9.0,39.62563196,10.47528559,,,,7.2144,98.9256,-22.2564,78.8,59.6,50.0,44.4159,neutral,0.25,0.35,0.25,0.15,,,
920111.BJ,聚星科技,电气机械和器材制造业,北交所,35.02,-0.7932,35.5,35.58,34.0,5706135.0,199310592.0,5.6621,33.356,32.889,31.955,29.7595,27.1604,27.384,1.5557,2.6756,35.3,28.22,37.6,22.52,-0.7932,-6.8617,97.2222,94.1356,,,,,,57.1093,0.3932,100.0,5.0,43.0,29.03288803,5.32566626,,,,11.4796,80.8673,-19.2347,76.8,52.78,50.0,42.7663,neutral,0.25,0.35,0.25,0.15,,,
600563.SH,法拉电子,元件,上交所,172.94,2.8242,170.5,177.25,167.5,12524169.0,2151039072.0,7.3566,167.354,160.791,163.9125,140.4208,125.9243,119.8084,1.8666,2.8029,176.77,143.0,176.77,114.49,-2.1667,-2.1667,98.8095,89.9366,,,,,30184452.98,58.4273,-0.4529,100.0,4.0,33.0,33.64014674,6.38674479,,,,64.7934,56.5289,-31.8099,75.1,67.1483,50.0,42.6196,neutral,0.25,0.35,0.25,0.15,,,
600460.SH,士兰微,半导体,上交所,44.8,7.1002,44.25,46.01,43.5,184731389.0,8274769960.0,10.1962,40.222,36.682,35.6665,30.6277,30.2413,29.179,6.2594,3.5774,44.8,32.13,44.8,24.72,0.0,0.0,99.6032,90.6242,,,,,20668397.56,75.5102,1.8215,100.0,5.0,34.0,181.3779634,6.8230529,,,,74.0223,69.4215,-38.2632,78.0,68.8766,50.0,42.4534,neutral,0.25,0.35,0.25,0.15,,,
300398.SZ,飞凯材料,电子化学品Ⅱ,创业板,48.88,6.0304,47.5,50.66,47.45,92420987.0,4523627461.0,18.7974,46.104,44.248,41.507,34.613,30.5842,26.0944,5.0823,5.0407,48.88,35.14,48.88,24.41,0.0,0.0,99.6032,92.7622,,,,,6198045.3,74.6945,1.0098,100.0,13.0,47.0,77.17130535,6.14929405,2.64,9.57,27.4,88.595,99.8347,-44.1042,80.7765,69.8493,50.0,42.208,neutral,0.25,0.35,0.25,0.15,,,
