industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
化学制药,,,,,68.34,1,27.9,,0.9172,
生物制品,,,,,66.63,2,18.44,,0.8704,
医疗服务,,,,,65.98,3,19.95,,0.8,
医药商业,,,,,63.12,4,9.99,,0.9062,
医疗器械,,,,,62.87,5,11.49,,0.8561,
环境治理,,,,,62.54,6,19.98,,0.6273,
综合,,,,,62.47,7,9.93,,0.875,
中药,,,,,62.0,8,9.97,,0.8507,
通用设备,,,,,61.18,9,30.0,,0.5592,
银行,,,,,61.05,10,4.09,,0.95,
旅游及酒店,,,,,61.01,11,7.73,,0.8571,
化学制品,,,,,60.97,12,20.0,,0.5486,
燃气,,,,,60.82,13,9.97,,0.7917,
公路铁路运输,,,,,60.69,14,5.26,,0.9032,
纺织制造,,,,,60.63,15,10.01,,0.7812,
橡胶制品,,,,,60.45,16,10.0,,0.7727,
美容护理,,,,,60.17,17,10.04,,0.7576,
食品加工制造,,,,,59.61,18,9.22,,0.75,
环保设备,,,,,59.35,19,12.03,,0.6667,
养殖业,,,,,59.31,20,10.05,,0.7143,
服装家纺,,,,,59.11,21,10.82,,0.6849,
房地产,,,,,59.05,22,10.15,,0.6988,
汽车服务及其他,,,,,58.69,23,5.38,,0.8,
汽车零部件,,,,,58.63,24,13.93,,0.5833,
零售,,,,,58.52,25,9.96,,0.6769,
半导体,,,,,58.48,26,15.71,,0.5311,
家居用品,,,,,58.22,27,10.04,,0.6598,
塑料制品,,,,,57.68,28,18.0,,0.4342,
物流,,,,,57.59,29,4.97,,0.7551,
农产品加工,,,,,57.55,30,4.09,,0.775,
IT服务,,,,,57.31,31,19.91,,0.368,
证券,,,,,57.08,32,10.0,,0.6042,
专用设备,,,,,57.0,33,11.94,,0.5515,
造纸,,,,,56.68,34,10.03,,0.5833,
软件开发,,,,,56.67,35,20.0,,0.3333,
包装印刷,,,,,56.57,36,10.02,,0.5778,
计算机设备,,,,,56.53,37,14.74,,0.4578,
轨交设备,,,,,56.53,37,6.86,,0.6552,
自动化设备,,,,,56.13,39,13.73,,0.4632,
化学原料,,,,,56.12,40,10.87,,0.5345,
非金属材料,,,,,56.09,41,16.19,,0.4,
白色家电,,,,,56.09,41,7.18,,0.625,
港口航运,,,,,55.98,43,5.68,,0.6571,
厨卫电器,,,,,55.88,44,5.1,,0.6667,
光学光电子,,,,,55.51,45,11.2,,0.4953,
饮料制造,,,,,55.15,46,5.08,,0.6304,
建筑装饰,,,,,54.94,47,10.03,,0.4964,
工程机械,,,,,54.26,48,7.41,,0.5278,
石油加工贸易,,,,,53.79,49,9.99,,0.44,
影视院线,,,,,53.62,50,6.19,,0.5263,
建筑材料,,,,,53.55,51,8.51,,0.4648,
电机,,,,,53.34,52,10.02,,0.4167,
煤炭开采加工,,,,,53.26,53,10.04,,0.4118,
农化制品,,,,,53.19,54,9.98,,0.4098,
金属新材料,,,,,53.12,55,20.0,,0.1562,
种植业与林业,,,,,52.95,56,5.89,,0.5,
文化传媒,,,,,52.74,57,9.98,,0.3875,
贸易,,,,,52.72,58,3.91,,0.5385,
电子化学品,,,,,52.71,59,13.71,,0.2927,
油气开采及服务,,,,,52.36,60,9.98,,0.3684,
通信设备,,,,,51.59,61,10.0,,0.3297,
互联网电商,,,,,51.29,62,7.03,,0.3889,
黑色家电,,,,,51.05,63,4.32,,0.4444,
电网设备,,,,,51.0,64,10.02,,0.2993,
小家电,,,,,50.94,65,2.67,,0.48,
其他电子,,,,,50.72,66,7.32,,0.3529,
化学纤维,,,,,50.66,67,5.6,,0.3929,
其他电源设备,,,,,50.66,67,9.9,,0.2857,
教育,,,,,50.24,69,1.82,,0.4667,
电力,,,,,50.24,69,10.01,,0.2617,
多元金融,,,,,49.87,71,3.74,,0.4,
其他社会服务,,,,,49.67,72,2.93,,0.4103,
电池,,,,,49.43,73,10.01,,0.2212,
消费电子,,,,,49.3,74,5.7,,0.3226,
元件,,,,,47.9,75,10.0,,0.1452,
小金属,,,,,47.75,76,9.99,,0.1379,
汽车整车,,,,,47.48,77,2.23,,0.3182,
军工装备,,,,,47.04,78,7.26,,0.1707,
通信服务,,,,,46.49,79,4.99,,0.2,
游戏,,,,,46.04,80,5.13,,0.1739,
光伏设备,,,,,45.97,81,5.36,,0.1644,
军工电子,,,,,45.79,82,3.84,,0.1935,
白酒,,,,,45.47,83,2.51,,0.2105,
钢铁,,,,,45.39,84,2.61,,0.2045,
风电设备,,,,,45.14,85,2.54,,0.1935,
工业金属,,,,,44.99,86,6.35,,0.0909,
贵金属,,,,,43.64,87,4.42,,0.0714,
机场航运,,,,,43.62,88,0.57,,0.1667,
能源金属,,,,,39.93,89,-0.14,,0.0,
保险,,,,,39.65,90,-0.71,,0.0,
