ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_20,future_return_30,future_return_60
300042.SZ,朗科科技,计算机设备,创业板,35.1,-2.5812,35.1,35.44,34.6,14169615.0,495293843.0,12.3594,34.508,33.89,34.063,29.4847,29.1332,27.0598,3.811,1.3236,37.07,31.36,37.07,25.13,-5.3143,-5.3143,96.0317,60.8316,,,,,19291809.99,48.1189,-0.1472,100.0,4.0,24.0,117.65855978,12.6182366,7.47,744.43,34.18,80.1948,99.3388,29.8021,95.8787,79.8164,50.0,68.4622,neutral,0.25,0.35,0.25,0.15,,,,
688378.SH,XD奥来德,光学光电子,科创板,38.6,3.652,37.3,38.78,37.12,6713430.0,255943468.0,4.8855,37.48,37.522,36.6415,30.8858,28.2763,23.7353,3.4223,3.7825,38.85,32.77,38.85,23.83,-0.6435,-0.6435,99.2063,54.4745,,,,,3846436.83,58.7045,-0.349,100.0,32.0,50.0,118.82249945,7.33467306,4.36,214.86,25.45,79.5041,99.6694,28.6433,91.2462,65.0563,50.0,62.8611,neutral,0.25,0.35,0.25,0.15,,,,
688503.SH,聚和材料,光伏设备,科创板,88.75,0.1693,88.53,90.99,86.05,11054417.0,973597941.0,12.9344,91.856,86.715,81.937,68.7118,64.7818,52.3669,3.7486,4.8534,97.37,71.05,97.37,51.05,-8.8528,-8.8528,97.619,95.6543,,,,,-2449001.36,62.3617,1.218,100.0,7.0,39.0,43.24191405,5.0512078,5.62,223.0,60.44,76.69,96.62,16.4326,86.8684,75.0144,50.0,60.7657,neutral,0.25,0.35,0.25,0.15,,,,
603124.SH,江南新材,金属新材料,上交所,115.78,5.2641,115.65,118.95,112.5,5044464.0,583728477.0,5.7155,102.838,97.975,96.515,85.0295,84.7794,,3.6425,2.6152,115.78,89.45,115.78,68.48,0.0,0.0,99.5575,69.0751,,,,,,67.7198,3.1705,100.0,4.0,32.0,100.36929304,13.57208736,4.14,113.91,58.88,97.0874,97.0874,9.373,86.3967,64.2543,50.0,56.1457,neutral,0.25,0.35,0.25,0.15,,,,
002297.SZ,博云新材,航空装备Ⅱ,深交所,13.63,1.7924,13.25,13.89,13.21,63124672.0,861569850.0,16.6613,13.07,12.976,12.607,11.4447,10.1353,8.7883,2.4085,3.0881,13.63,11.55,13.63,8.89,0.0,0.0,99.6032,58.7652,,,,,0.0,70.8763,0.1193,100.0,11.0,60.0,85.3525721,7.2968175,,,,6.0536,99.4215,8.787,73.5226,78.9198,50.0,55.1596,neutral,0.25,0.35,0.25,0.15,,,,
300505.SZ,川金诺,农化制品,创业板,37.3,20.0129,32.01,37.3,32.01,92718068.0,3246657926.0,11.301,30.206,28.967,28.8715,25.201,23.3343,20.5948,2.3703,2.3737,37.3,27.28,37.3,20.8,0.0,0.0,99.6032,92.8851,,,,,0.0,70.5479,0.9566,100.0,2.0,32.0,14.81086525,2.12097433,,,,18.083,40.2479,11.6444,71.9422,76.2136,50.0,54.6443,neutral,0.25,0.35,0.25,0.15,,,,
688536.SH,思瑞浦,半导体,科创板,178.66,0.399,180.0,180.62,175.8,2616368.0,466385312.0,5.2369,180.024,181.875,189.294,168.9062,163.2627,148.2516,0.8597,0.1916,209.07,177.95,209.07,140.11,-14.5454,-14.5454,90.873,72.0466,,,,,3230125.05,25.4956,-5.0816,50.0,0.0,35.0,180.35013108,7.45150105,1.68,577.25,10.34,57.8358,62.6446,15.2136,74.6402,66.88,50.0,54.1475,neutral,0.25,0.35,0.25,0.15,,,,
300398.SZ,飞凯材料,电子化学品Ⅱ,创业板,31.98,5.0246,30.8,32.76,29.91,74759487.0,2335376761.0,23.8079,29.764,28.55,27.6405,24.6555,24.0793,21.4152,3.7478,2.8498,31.98,25.83,31.98,21.12,0.0,0.0,99.6032,61.1931,,,,,6198045.3,65.8762,0.6226,100.0,32.0,32.0,91.15224928,7.26334719,,,,95.7851,99.9174,0.2739,74.225,82.2811,50.0,54.1175,neutral,0.25,0.35,0.25,0.15,,,,
002842.SZ,翔鹭钨业,小金属,深交所,37.5,4.6025,36.5,38.86,35.64,85154556.0,3161751957.0,20.5752,36.65,32.641,29.038,18.8952,15.1017,11.416,17.47,12.479,38.51,21.78,38.51,10.88,-2.6227,-2.6227,99.2063,91.7019,,,,,,69.7898,1.3106,100.0,51.0,54.0,41.91466076,11.08040478,,,,8.2164,99.0083,8.6105,72.0353,76.8468,50.0,54.0767,neutral,0.25,0.35,0.25,0.15,,,,
601799.SH,星宇股份,汽车零部件,上交所,151.6,-0.2369,151.34,153.08,148.32,2311227.0,347692609.0,4.7673,151.02,149.948,139.6415,129.6077,127.9296,128.0141,5.1149,1.8396,154.0,119.7,154.0,119.51,-1.5584,-1.5584,98.8095,67.0374,,,,,52156889.33,66.9964,1.8003,100.0,15.0,15.0,15.64477747,2.24073986,,,,0.0,0.0,16.07,74.225,65.6763,50.0,53.9153,neutral,0.25,0.35,0.25,0.15,,,,
300219.SZ,鸿利智汇,光学光电子,创业板,7.94,-0.75,8.03,8.06,7.91,28379938.0,225502546.0,12.3084,7.798,7.741,7.6815,7.4573,7.3732,7.0129,1.1789,0.3904,8.0,7.41,8.0,6.91,-0.75,-0.75,98.0159,25.2403,,,,,3771849.6,61.2676,0.0469,100.0,11.0,11.0,68.46498223,2.66303963,,,,79.0909,80.0826,3.1903,73.5226,78.8488,50.0,53.7427,neutral,0.25,0.35,0.25,0.15,,,,
