ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
002437.SZ,誉衡药业,化学制药,深交所,3.77,1.8919,3.69,3.79,3.66,87428700.0,327475868.0,5.4585,3.72,3.765,3.701,3.4773,3.3574,3.2273,3.9607,0.963,3.91,3.48,3.91,2.97,-3.5806,-3.5806,97.2222,47.6847,,,,,2405181.76,51.7544,-0.0212,100.0,2.0,21.0,14.73651875,2.53989023,4.05,57.55,23.43,1.4634,8.7603,15.0061,82.2,62.4352,50.0,55.6303,neutral,0.25,0.35,0.25,0.15,,,
002033.SZ,丽江股份,旅游及景区,深交所,10.16,-3.0534,10.4,10.4,9.83,61503371.0,619591461.0,2.7784,10.534,10.403,9.754,9.5385,9.3177,9.1048,4.3711,0.8885,11.02,8.89,11.02,8.4,-7.804,-7.804,96.8254,67.1054,,,,,-4014718.15,60.7914,0.1639,100.0,9.0,9.0,19.10320621,1.78719654,2.57,93.34,7.32,0.5133,22.3967,12.867,83.7667,45.1857,50.0,51.3315,neutral,0.25,0.35,0.25,0.15,,,
300773.SZ,拉卡拉,多元金融,创业板,26.67,-0.0375,26.71,27.08,26.45,32364374.0,864690982.0,5.4124,27.03,26.478,25.1085,26.3597,25.2213,25.5063,3.1616,-0.3572,27.65,22.56,29.52,22.56,-3.5443,-9.6545,60.7143,49.4594,,,,,-10090167.26,67.3469,0.6315,100.0,12.0,7.0,11.50840527,3.93290424,13.0,490.97,60.69,1.4374,44.1322,1.2764,87.7,45.6353,50.0,49.9229,neutral,0.25,0.35,0.25,0.15,,,
301031.SZ,中熔电气,其他电子Ⅱ,深交所,161.52,13.0934,155.02,171.38,154.68,8702381.0,1431721178.0,4.0494,151.426,149.385,145.039,143.8868,127.4845,112.384,2.1017,1.2005,161.52,133.08,161.52,133.08,0.0,0.0,99.6032,63.4972,,,,,-1942051.92,71.1464,1.9852,100.0,1.0,1.0,37.99968926,10.64585109,7.31,87.43,53.77,13.3891,69.1213,-7.4873,88.0333,52.0171,50.0,49.4441,neutral,0.25,0.35,0.25,0.15,,,
002588.SZ,史丹利,农化制品,深交所,11.22,-3.2759,11.55,11.55,11.12,27954161.0,315355134.0,1.5463,11.386,10.915,10.719,10.8263,10.3178,9.6948,2.5496,0.7616,11.81,10.03,11.82,10.03,-4.9958,-5.0761,95.6349,51.2525,,,,,1212238.44,60.473,0.2541,100.0,8.0,4.0,9.08504573,1.2493649,4.42,18.54,43.34,0.2479,28.7603,6.7857,74.7333,51.6935,50.0,48.2765,neutral,0.25,0.35,0.25,0.15,,,
600338.SH,西藏珠峰,工业金属,上交所,24.83,10.0133,22.8,24.83,22.8,119480306.0,2907536363.0,8.3443,22.402,21.368,19.3625,18.5072,16.8827,14.0481,9.1522,1.6831,24.83,16.51,24.83,14.71,0.0,0.0,99.6032,79.5829,,,,,-309580.04,79.038,1.0905,100.0,14.0,11.0,28.0951605,3.51963753,,,,10.6257,44.2975,-9.7934,79.8,61.011,50.0,48.2344,neutral,0.25,0.35,0.25,0.15,,,
688378.SH,奥来德,光学光电子,科创板,43.65,10.4225,40.0,44.18,39.54,14789850.0,629260279.0,5.4808,40.24,38.956,37.0935,37.13,32.5091,26.22,4.09,1.6671,43.65,33.42,43.65,32.67,0.0,0.0,99.6032,53.7094,,,,,3846436.83,84.3164,1.2312,100.0,14.0,14.0,121.91147257,7.52534914,4.36,214.86,25.45,80.0,99.9174,-35.5314,95.6333,63.3548,50.0,47.9275,neutral,0.25,0.35,0.25,0.15,,,
603092.SH,德力佳,风电设备,上交所,75.54,0.5859,74.84,78.19,74.31,3214542.0,246281069.0,2.6398,73.672,71.448,69.113,69.5152,,,1.8645,0.2924,75.54,64.19,77.24,64.19,0.0,-2.2009,97.3451,29.8549,,,,,,89.0953,1.8232,100.0,9.0,6.0,25.51120935,3.99037342,,,,1.3333,1.3333,4.2,77.6,47.24,50.0,47.52,neutral,0.25,0.35,0.25,0.15,,,
002772.SZ,众兴菌业,种植业,深交所,17.49,-1.4648,17.81,17.84,17.0,12240700.0,212429477.0,1.8146,18.112,18.104,17.4285,17.4257,15.604,11.9308,2.4784,1.3523,19.0,15.94,19.57,15.65,-7.9474,-10.6285,87.3016,47.4208,,,,,,57.4213,0.0724,100.0,9.0,9.0,10.40528784,1.28639718,4.53,237.55,52.91,4.2202,80.1653,-8.8101,87.7667,44.68,50.0,47.1858,neutral,0.25,0.35,0.25,0.15,,,
301479.SZ,弘景光电,光学光电子,深交所,107.1,-0.4184,108.9,111.5,105.48,2379757.0,258981074.0,4.8118,108.778,105.795,98.9815,93.5307,90.6162,95.6922,3.6569,1.5431,111.63,83.89,111.63,83.89,-4.058,-4.058,87.3016,70.4253,,,,,,70.922,1.9032,100.0,14.0,14.0,41.79629231,5.8695528,,,,12.0521,5.5375,-0.6026,75.1,52.14,50.0,46.6693,neutral,0.25,0.35,0.25,0.15,,,
